마파, 150, 60
다마, 154, 72
하하, 140, 92
차카, 158, 47
하다, 177, 67
타가, 185, 79
사마, 179, 49
나바, 165, 47
파타, 166, 51
하타, 179, 77
차아, 157, 98
카차, 161, 91
하다, 164, 55
하카, 173, 60
다다, 159, 51
타하, 177, 63
마사, 147, 76
라자, 150, 50
나카, 159, 59
차마, 179, 55
나다, 150, 43
하사, 164, 93
파타, 182, 65
가바, 172, 80
차가, 171, 75
파라, 182, 61
라나, 174, 92
자자, 172, 51
카카, 165, 92
자차, 189, 72
타파, 149, 77
차나, 148, 97
나라, 185, 78
파다, 175, 78
하사, 175, 47
사마, 154, 70
사바, 178, 90
바파, 180, 76
다라, 162, 55
라다, 161, 81
파카, 147, 46
사라, 148, 78
카마, 174, 67
하마, 176, 63
나다, 151, 70
파타, 180, 56
자마, 148, 95
사아, 188, 50
카바, 181, 69
나자, 172, 97
다아, 140, 83
사사, 171, 58
바하, 152, 79
타사, 155, 96
타가, 150, 72
나다, 165, 76
나하, 182, 47
아다, 151, 98
타다, 153, 64
바타, 185, 78
카사, 156, 46
카나, 148, 97
가다, 142, 72
차나, 182, 71
바사, 183, 57
자바, 175, 94
차라, 170, 54
다카, 176, 68
라나, 179, 89
아파, 148, 75
타카, 188, 55
파아, 162, 77
라카, 188, 55
마바, 146, 56
나타, 178, 87
차파, 159, 90
자파, 167, 74
아나, 157, 45
카자, 173, 84
자다, 145, 49
바라, 157, 44
라가, 178, 95
하자, 173, 60
아파, 179, 63
자파, 184, 72
아타, 168, 58
가마, 173, 74
타하, 156, 42
가타, 165, 91
다차, 143, 81
하파, 148, 58
타차, 188, 74
사파, 163, 74
다바, 183, 65
바타, 177, 53
가사, 157, 65
파마, 179, 94
카하, 172, 52
차사, 166, 87
파다, 147, 95
